npi,specialty_description,total_claim_count,total_30_day_fill_count,total_drug_cost,total_day_supply,bene_count,brand_claim_count,brand_drug_cost,generic_claim_count,generic_drug_cost,opioid_claim_count,opioid_drug_cost,opioid_prescriber_rate,average_age_of_beneficiaries,beneficiary_female_count,beneficiary_male_count,beneficiary_race_white_count,beneficiary_race_black_count,beneficiary_race_asian_pi_count,beneficiary_race_hispanic_count,beneficiary_race_nat_ind_count,beneficiary_race_other_count,beneficiary_average_risk_score
1003164377,Psychiatry,2054,2101.8,249800.39,60572,170.0,153.0,199805.73,1901.0,49994.66,0.0,0.0,0.0,53.0,90.0,80.0,92.0,39.0,,,,,1.2482
1003164443,Internal Medicine,272,277.5,13155.35,4498,112.0,,,235.0,6443.0,24.0,335.94,8.82,70.0,65.0,47.0,,54.0,,,0.0,,2.9196
1003166885,Internal Medicine,253,260.1,11812.25,4475,118.0,65.0,10471.33,188.0,1340.92,11.0,202.86,4.35,78.0,77.0,41.0,,,0.0,0.0,0.0,,2.2878
1003169814,Family Practice,653,794.3,42608.84,20847,66.0,112.0,32629.59,515.0,9137.83,12.0,261.42,1.84,78.0,43.0,23.0,36.0,,0.0,,0.0,,1.6380000000000001
1003170077,Family Practice,61,81.0,1029.1,1426,44.0,,,,,,,,69.0,28.0,16.0,,,,,,0.0,1.2597
1003170176,Family Practice,4110,6576.2,297511.5,186169,251.0,729.0,213891.12,3333.0,81648.05,130.0,8435.2,3.16,71.0,148.0,103.0,,,,,0.0,,1.4159
1003170200,Internal Medicine,62,63.2,7653.57,996,37.0,,,,,0.0,0.0,0.0,58.0,18.0,19.0,,,,,0.0,0.0,1.4447
1003170218,Internal Medicine,231,237.5,16389.75,5131,103.0,,,174.0,3320.73,15.0,126.65,6.49,70.0,59.0,44.0,85.0,18.0,0.0,0.0,0.0,0.0,1.7009
1003170614,Family Practice,1079,1271.1,35332.66,22242,513.0,,,961.0,14063.44,142.0,391.31,13.16,62.0,287.0,226.0,84.0,,,378.0,,,1.6101
1003170671,Internal Medicine,463,493.7,15057.51,10739,128.0,79.0,9249.17,384.0,5808.34,16.0,108.83,3.46,75.0,74.0,54.0,,,,0.0,,,2.3063
1003170713,Family Practice,70,99.0,6678.26,2278,43.0,14.0,4235.0,56.0,2443.26,,,,65.0,23.0,20.0,32.0,,,,0.0,0.0,1.2359
1003170739,Internal Medicine,120,120.5,6286.21,2858,46.0,18.0,5361.71,102.0,924.5,13.0,120.75,10.83,63.0,33.0,13.0,20.0,26.0,0.0,0.0,0.0,0.0,2.57
1003170952,Internal Medicine,54,70.6,716.9,2006,17.0,,,,,,,,75.0,,,,,,,0.0,,1.6378
1003171141,Family Practice,681,917.4,55303.45,23500,168.0,,,530.0,10299.52,13.0,755.92,1.91,69.0,93.0,75.0,,,0.0,,0.0,,1.1384
1003171158,Neurology,205,279.5,16692.92,7840,91.0,31.0,12037.32,174.0,4655.6,,,,73.0,57.0,34.0,61.0,,0.0,,,,1.2094
1003171166,Family Practice,13,15.7,62.79,445,,0.0,0.0,13.0,62.79,0.0,0.0,0.0,,,,,,,,,,
1003171372,Family Practice,19,19.0,631.41,261,,,,,,,,,,,,,,,,,,
1003171398,Family Practice,2496,2695.0,74042.64,74939,231.0,298.0,47856.9,2169.0,25606.4,80.0,665.72,3.21,65.0,112.0,119.0,,0.0,0.0,,0.0,0.0,1.4682
1003171810,Internal Medicine,1354,2241.2,63202.92,63518,274.0,199.0,37211.95,1134.0,25276.44,167.0,5100.35,12.33,71.0,176.0,98.0,262.0,,0.0,0.0,0.0,,1.5063
1003171901,Family Practice,5607,12357.1,398888.27,356467,738.0,763.0,279252.75,4814.0,117447.7,204.0,2435.68,3.64,74.0,416.0,322.0,706.0,,,,,15.0,1.1652
1003171968,Family Practice,556,640.6,30202.78,17724,58.0,96.0,23532.45,436.0,5835.67,35.0,1816.8,6.29,64.0,40.0,18.0,,,0.0,0.0,0.0,0.0,1.2355
1003171976,Internal Medicine,42,48.0,13910.9,1188,18.0,16.0,13148.65,26.0,762.25,,,,70.0,,,,,0.0,0.0,0.0,0.0,3.3680000000000003
1003172016,Family Practice,1639,3635.1,55387.55,105138,277.0,,,1315.0,31718.32,88.0,3967.35,5.37,73.0,188.0,89.0,196.0,,,62.0,,,1.1181
1003172172,Family Practice,584,831.4,25603.13,22343,63.0,,,476.0,5276.36,0.0,0.0,0.0,66.0,35.0,28.0,,35.0,,,0.0,0.0,1.2438
1003172313,Family Practice,8535,10828.3,560546.19,297596,410.0,1347.0,386218.19,7109.0,171136.85,1536.0,90525.04,18.0,67.0,225.0,185.0,290.0,,,,0.0,,1.6081
1003172362,Internal Medicine,222,227.0,16795.99,3994,105.0,30.0,13982.43,192.0,2813.56,20.0,184.05,9.01,67.0,53.0,52.0,81.0,13.0,0.0,,0.0,,2.8698
1003172396,Family Practice,2108,2545.1,127885.2,71146,183.0,360.0,82351.82,1732.0,45139.78,72.0,1569.38,3.42,61.0,121.0,62.0,62.0,,,90.0,,,1.1453
1003172446,Internal Medicine,70,108.0,3948.03,2987,20.0,,,,,,,,65.0,,,,,,,0.0,0.0,2.5485
1003172529,Internal Medicine,177,183.0,8544.37,3321,27.0,,,144.0,5236.61,11.0,179.83,6.21,70.0,16.0,11.0,14.0,,,,0.0,0.0,2.8643
1003172859,Family Practice,628,992.8,43627.84,28345,101.0,,,501.0,15301.54,62.0,2125.61,9.87,68.0,73.0,28.0,51.0,,,34.0,0.0,,1.4703
1003173022,Family Practice,2859,5316.7,180904.03,152458,477.0,470.0,119568.84,2369.0,60586.34,221.0,15352.93,7.73,72.0,351.0,126.0,432.0,23.0,,,0.0,11.0,1.2028
1003173071,Internal Medicine,467,487.2,18321.69,9417,178.0,42.0,10266.87,425.0,8054.82,37.0,613.32,7.92,75.0,94.0,84.0,96.0,,,61.0,,,2.4768
1003173287,Internal Medicine,181,377.8,40227.65,11111,30.0,,,126.0,2805.0,0.0,0.0,0.0,64.0,,,17.0,,0.0,,0.0,,1.3914
1003173469,Family Practice,2434,4092.2,139425.75,109509,312.0,320.0,79057.88,2101.0,59725.55,268.0,23722.58,11.01,70.0,213.0,99.0,267.0,34.0,,,,,1.1647
1003173550,Internal Medicine,31,54.3,8197.61,1429,,17.0,8068.49,14.0,129.12,0.0,0.0,0.0,,,,,,,,,,
1003173592,Internal Medicine,136,154.0,9861.36,4585,14.0,30.0,8314.92,85.0,706.03,0.0,0.0,0.0,65.0,,,,,,0.0,0.0,0.0,2.4411
1003173618,Internal Medicine,937,1108.2,41320.86,31024,73.0,,,782.0,16543.96,20.0,528.26,2.13,61.0,44.0,29.0,,49.0,,0.0,,0.0,1.705
1003173824,Internal Medicine,50,81.9,5514.54,2402,17.0,12.0,5036.73,38.0,477.81,0.0,0.0,0.0,66.0,,,,,0.0,,0.0,0.0,1.8002
1003174004,Family Practice,4338,6051.9,192744.85,174437,431.0,566.0,121304.91,3738.0,69820.9,198.0,4552.07,4.56,70.0,262.0,169.0,353.0,,,,0.0,,1.1532
1003174053,Internal Medicine,1313,1742.8,80916.22,43424,176.0,,,1102.0,30092.93,61.0,1537.83,4.65,81.0,102.0,74.0,83.0,,13.0,64.0,,,2.5292
1003174129,Family Practice,88,136.0,6955.64,3546,36.0,,,66.0,1312.28,,,,67.0,25.0,11.0,,0.0,,,0.0,0.0,1.5159
1003174202,Internal Medicine,817,926.5,95060.31,26642,78.0,,,565.0,8395.46,,,,60.0,46.0,32.0,,,0.0,0.0,0.0,0.0,2.0521
1003174301,Internal Medicine,41,53.0,2203.53,1262,19.0,,,,,,,,74.0,,,,,0.0,,0.0,0.0,2.1029
1003174350,Internal Medicine,3159,4990.1,206391.66,139584,384.0,579.0,153882.89,2547.0,51256.08,119.0,2320.8,3.77,69.0,211.0,173.0,357.0,13.0,,,,,1.2057
1003174376,Psychiatry,324,395.0,22059.98,11492,131.0,22.0,12206.04,302.0,9853.94,0.0,0.0,0.0,56.0,94.0,37.0,100.0,,0.0,15.0,,,1.4643
1003174814,Family Practice,5717,6713.7,230014.42,172934,289.0,907.0,148709.41,4786.0,80439.11,401.0,15221.65,7.01,74.0,191.0,98.0,,,0.0,,0.0,,1.1435
1003174913,Family Practice,418,554.9,12799.75,11636,277.0,,,361.0,8095.2,50.0,1988.78,11.96,73.0,178.0,99.0,145.0,24.0,,92.0,,,1.2262
1003175142,Internal Medicine,105,108.3,148488.83,2770,29.0,63.0,146858.35,42.0,1630.48,,,,61.0,15.0,14.0,,,0.0,,0.0,0.0,1.5705
1003175431,Internal Medicine,424,444.9,8372.61,8772,161.0,,,371.0,3963.93,33.0,183.59,7.78,73.0,104.0,57.0,118.0,,,,0.0,0.0,2.7085
1003175589,Family Practice,884,1214.1,52836.96,32672,141.0,,,736.0,12591.99,42.0,1200.13,4.75,64.0,90.0,51.0,82.0,47.0,,,0.0,0.0,1.2469
1003175597,Internal Medicine,131,137.0,7821.44,2910,42.0,,,101.0,1274.63,,,,71.0,22.0,20.0,,14.0,,14.0,0.0,,3.655
1003175886,Family Practice,1934,3519.0,133433.27,101574,324.0,355.0,96655.86,1550.0,35765.66,147.0,4227.74,7.6,66.0,239.0,85.0,176.0,97.0,,36.0,,,1.7359
1003175910,Family Practice,637,738.7,28846.22,19363,85.0,,,516.0,12244.03,47.0,4950.37,7.38,62.0,54.0,31.0,69.0,,,,0.0,,1.2031
1003175993,Family Practice,4398,8061.7,384874.61,235291,266.0,951.0,309097.94,3386.0,73782.07,97.0,1581.74,2.21,69.0,167.0,99.0,253.0,,0.0,0.0,0.0,,1.1717
1003176025,Family Practice,89,115.3,4933.7,3185,17.0,,,52.0,1402.88,0.0,0.0,0.0,66.0,,,,,,0.0,0.0,,1.2932
1003176058,Family Practice,357,413.8,12264.25,8915,131.0,,,308.0,3657.68,25.0,176.36,7.0,75.0,80.0,51.0,,,0.0,,0.0,0.0,2.1208
1003176116,Psychiatry,301,308.1,30194.95,9077,40.0,29.0,22556.25,272.0,7638.7,,,,50.0,19.0,21.0,23.0,,,,0.0,0.0,1.4108
1003176207,Internal Medicine,1374,1745.9,156244.38,50223,211.0,338.0,119729.62,990.0,34363.16,16.0,265.2,1.16,65.0,105.0,106.0,47.0,,113.0,25.0,0.0,,2.0811
1003176215,Internal Medicine,80,80.8,2795.91,1694,34.0,12.0,2083.8,68.0,712.11,,,,73.0,13.0,21.0,21.0,,,,0.0,0.0,1.7646
1003176223,General Practice,12,12.0,87.35,118,,,,,,,,,,,,,,,,,,
1003176652,Family Practice,1324,1998.2,89654.47,55766,184.0,219.0,67128.56,1082.0,21507.12,49.0,753.72,3.7,68.0,114.0,70.0,95.0,,57.0,,,19.0,1.354
1003176868,Internal Medicine,54,64.0,4047.82,1551,,,,38.0,715.69,0.0,0.0,0.0,,,,,,,,,,
1003176975,Internal Medicine,126,138.4,8359.27,3065,54.0,,,104.0,2630.05,,,,73.0,32.0,22.0,38.0,,0.0,,0.0,,2.6366
1003177056,Family Practice,1771,2824.6,122595.06,77447,331.0,343.0,82771.43,1409.0,39142.74,143.0,5971.09,8.07,71.0,198.0,133.0,301.0,,,14.0,,,1.0854
1003177130,Internal Medicine,533,606.4,56717.85,17812,81.0,115.0,51762.52,406.0,4557.46,,,,65.0,46.0,35.0,,,,54.0,0.0,,1.1154
1003177338,Neurology,219,361.5,14132.53,10527,61.0,11.0,7869.24,208.0,6263.29,,,,70.0,34.0,27.0,47.0,,0.0,,0.0,,1.5373
1003178013,Family Practice,131,178.1,4271.27,4437,55.0,15.0,2376.72,116.0,1894.55,19.0,267.15,14.5,67.0,29.0,26.0,,0.0,0.0,27.0,,0.0,1.5795
1003178294,Internal Medicine,99,122.5,2536.0,3578,24.0,15.0,1588.97,84.0,947.03,0.0,0.0,0.0,67.0,,,,,,0.0,0.0,0.0,2.3569999999999998
1003178443,Internal Medicine,737,889.8,70453.51,24141,192.0,160.0,58641.18,561.0,9859.47,93.0,5097.36,12.62,60.0,109.0,83.0,113.0,59.0,,,,,1.768
1003178567,Family Practice,4564,7907.4,271957.29,226873,497.0,791.0,200748.68,3710.0,69061.19,341.0,6696.86,7.47,68.0,288.0,209.0,461.0,,,13.0,,,1.1637
1003178732,Family Practice,170,254.0,4057.75,7408,24.0,,,142.0,1908.22,0.0,0.0,0.0,63.0,,,,,,,0.0,0.0,1.4058
1003178880,Family Practice,879,919.3,11043.46,9852,525.0,,,817.0,8621.29,26.0,135.92,2.96,73.0,353.0,172.0,491.0,14.0,,,,,1.0158
1003179045,Internal Medicine,80,80.0,818.7,1781,17.0,,,69.0,435.39,0.0,0.0,0.0,66.0,,,,,0.0,,0.0,0.0,2.3538
1003179078,Family Practice,2377,3031.8,719759.0,84963,197.0,532.0,679612.45,1813.0,38623.96,39.0,1330.93,1.64,64.0,90.0,107.0,155.0,,0.0,,0.0,0.0,1.504
1003179276,Neurology,11,17.2,33.35,463,,0.0,0.0,11.0,33.35,0.0,0.0,0.0,,,,,,,,,,
1003179318,Family Practice,1199,1823.2,47980.63,45844,272.0,,,1045.0,20392.98,34.0,518.37,2.84,72.0,160.0,112.0,249.0,12.0,,,0.0,,1.3857
1003179326,Family Practice,1480,1756.9,88388.53,50167,86.0,299.0,70285.23,1169.0,17868.4,72.0,5209.28,4.86,69.0,54.0,32.0,,,0.0,0.0,0.0,0.0,1.4756
1003179532,Family Practice,715,966.3,43254.83,27716,126.0,115.0,32721.95,587.0,10345.64,16.0,2939.24,2.24,67.0,93.0,33.0,78.0,,,,0.0,,1.3614
1003179599,Internal Medicine,110,186.6,7768.42,5312,30.0,27.0,6290.26,83.0,1478.16,,,,75.0,,,,,,0.0,0.0,,1.9224
1003179623,Internal Medicine,49,104.5,1490.43,3009,18.0,,,,,,,,69.0,,,,,0.0,0.0,0.0,0.0,2.3611
1003179706,Family Practice,1937,2620.9,105358.84,70638,146.0,,,1536.0,36979.33,151.0,7686.04,7.8,71.0,96.0,50.0,,0.0,0.0,0.0,,,1.2095
1003179912,Internal Medicine,128,176.9,12127.55,4565,54.0,,,101.0,1487.97,,,,68.0,36.0,18.0,,28.0,0.0,,0.0,,2.0679
1003180324,Internal Medicine,737,767.5,31363.94,16516,251.0,,,622.0,10272.16,41.0,319.27,5.56,73.0,158.0,93.0,222.0,14.0,,,,,2.2078
1003181306,Family Practice,473,574.5,32674.14,13584,136.0,,,353.0,8263.22,19.0,212.53,4.02,71.0,84.0,52.0,95.0,,0.0,,,0.0,2.2493
1003181405,Internal Medicine,135,135.4,4521.27,2401,49.0,20.0,3104.29,115.0,1416.98,14.0,114.3,10.37,72.0,32.0,17.0,38.0,,,0.0,,,2.7539999999999996
1003181470,Internal Medicine,10330,18859.1,648434.85,546186,784.0,1740.0,391860.49,8486.0,252801.11,760.0,38321.97,7.36,71.0,403.0,381.0,420.0,59.0,,275.0,,14.0,1.3109
1003182080,Internal Medicine,3048,5867.1,270307.06,170623,289.0,622.0,198083.11,2348.0,69367.42,41.0,428.4,1.35,68.0,174.0,115.0,,133.0,,104.0,0.0,,1.6034
1003182114,Internal Medicine,24,34.0,1552.41,852,12.0,,,,,,,,66.0,,,,,0.0,0.0,0.0,0.0,1.7081
1003182205,Family Practice,377,390.1,6206.53,4364,279.0,28.0,2029.18,349.0,4177.35,56.0,283.8,14.85,70.0,163.0,116.0,,,,,0.0,,1.1340000000000001
1003182445,Internal Medicine,445,742.2,27168.46,19075,139.0,,,321.0,7633.41,27.0,615.34,6.07,73.0,73.0,66.0,96.0,22.0,,,0.0,,2.283
1003182544,Family Practice,2009,4137.2,69112.6,118204,326.0,393.0,30071.04,1574.0,38377.49,201.0,8453.86,10.0,70.0,229.0,97.0,150.0,76.0,12.0,77.0,0.0,11.0,1.2323
1003182650,Family Practice,2354,4039.1,160183.73,112724,303.0,439.0,111281.42,1890.0,48080.77,122.0,1843.69,5.18,71.0,198.0,105.0,273.0,15.0,0.0,,,,1.7355
1003182809,Internal Medicine,69,111.0,5597.65,3277,20.0,,,,,0.0,0.0,0.0,63.0,,,,0.0,0.0,,,0.0,1.3325
1003182833,Family Practice,112,169.9,11003.03,4891,37.0,16.0,6092.27,74.0,4502.09,0.0,0.0,0.0,67.0,,,,12.0,,13.0,0.0,,1.5355
1003182890,Internal Medicine,265,292.0,8376.4,6505,90.0,33.0,5522.59,232.0,2853.81,12.0,98.16,4.53,75.0,54.0,36.0,,,,,0.0,,2.2326
1003183179,Internal Medicine,201,459.7,10401.62,13568,80.0,,,169.0,6291.17,0.0,0.0,0.0,72.0,50.0,30.0,19.0,,21.0,24.0,0.0,,1.4164
1003183484,Family Practice,1635,2500.0,75622.24,68727,309.0,,,1412.0,27720.9,149.0,3331.34,9.11,76.0,234.0,75.0,167.0,,,,0.0,0.0,2.0426
1003184128,Internal Medicine,234,242.9,11910.54,4511,108.0,,,195.0,2137.51,11.0,58.93,4.7,72.0,64.0,44.0,75.0,,,12.0,,,2.0673
1003184748,Internal Medicine,56,145.0,2554.8,4162,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003184946,Internal Medicine,4600,8280.6,312035.49,240373,408.0,865.0,217196.81,3688.0,92171.06,161.0,4699.48,3.5,72.0,269.0,139.0,381.0,,,,,,1.1537
1003185679,Internal Medicine,503,584.2,27613.8,16657,89.0,,,362.0,3401.75,,,,60.0,58.0,31.0,76.0,,,,0.0,,1.35
1003185885,Family Practice,1352,1883.6,60748.41,54290,130.0,,,1123.0,17845.48,50.0,2243.05,3.7,72.0,74.0,56.0,85.0,,,28.0,0.0,,1.2538
1003186172,Family Practice,1363,1637.5,77884.11,46523,128.0,246.0,59066.06,1094.0,18079.6,48.0,5907.51,3.52,64.0,59.0,69.0,,,,98.0,0.0,,1.4134
1003186644,Internal Medicine,370,410.0,18399.13,8521,130.0,,,289.0,3908.37,36.0,1068.88,9.73,75.0,73.0,57.0,119.0,0.0,,,0.0,,1.7952
1003187048,Internal Medicine,684,725.4,28426.24,15999,222.0,,,563.0,7931.38,54.0,424.35,7.89,67.0,139.0,83.0,,118.0,,,0.0,,2.1058
1003187295,Internal Medicine,391,443.5,28877.39,9997,131.0,,,340.0,3990.74,31.0,757.01,7.93,70.0,77.0,54.0,104.0,14.0,,,0.0,,2.5363
1003187642,Internal Medicine,28,70.0,431.0,2018,18.0,0.0,0.0,28.0,431.0,,,,76.0,,,,,,0.0,0.0,0.0,1.0864
1003187766,Internal Medicine,1130,2223.8,77247.4,63922,160.0,,,951.0,21611.86,24.0,406.11,2.12,73.0,91.0,69.0,,,102.0,,0.0,,1.2129
1003188459,Family Practice,17,22.4,2414.39,654,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003189010,Internal Medicine,46,46.0,1767.59,1380,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003189036,Internal Medicine,12240,25460.7,833649.92,753329,698.0,2094.0,667453.07,9934.0,160034.84,22.0,150.82,0.18,69.0,428.0,270.0,126.0,96.0,,464.0,0.0,,1.8709
1003194093,Internal Medicine,126,188.8,72417.94,5342,41.0,13.0,65823.98,113.0,6593.96,0.0,0.0,0.0,68.0,29.0,12.0,30.0,,,0.0,0.0,0.0,1.4747
1003194218,Internal Medicine,1749,3659.3,157734.13,106603,210.0,342.0,118795.87,1395.0,38372.98,64.0,2162.14,3.66,73.0,129.0,81.0,119.0,30.0,22.0,27.0,0.0,12.0,1.2335
1003194382,Internal Medicine,166,167.5,5730.51,3544,61.0,,,138.0,1537.36,12.0,82.62,7.23,70.0,36.0,25.0,,,,,,,2.2157
1003194515,Internal Medicine,416,429.0,20538.79,8401,176.0,,,336.0,4281.61,36.0,212.79,8.65,71.0,100.0,76.0,158.0,,,,0.0,,2.274
1003194622,Psychiatry,214,214.0,24942.13,6114,80.0,21.0,15710.52,193.0,9231.61,0.0,0.0,0.0,49.0,55.0,25.0,,,0.0,,0.0,0.0,1.3851
1003194739,Family Practice,4170,5804.2,220684.86,165531,196.0,684.0,161106.66,3423.0,57569.42,125.0,4774.32,3.0,67.0,119.0,77.0,182.0,,,,0.0,,1.5828
1003195215,Internal Medicine,37,45.0,1045.74,891,17.0,,,,,21.0,504.85,56.76,71.0,,,,,0.0,,0.0,0.0,3.6256
1003195371,Psychiatry,373,383.6,20945.9,10976,25.0,32.0,8981.22,341.0,11964.68,0.0,0.0,0.0,42.0,11.0,14.0,,0.0,0.0,,0.0,0.0,0.94
1003195454,Internal Medicine,1336,1554.0,80610.82,44617,247.0,251.0,61883.29,1053.0,17846.76,,,,64.0,140.0,107.0,123.0,105.0,,,0.0,,1.8978
1003195686,Internal Medicine,75,107.5,5028.75,3072,16.0,24.0,3999.38,51.0,1029.37,0.0,0.0,0.0,69.0,,,,,,,0.0,0.0,2.6058
1003195751,Psychiatry,135,139.6,5932.89,3184,39.0,11.0,4533.38,124.0,1399.51,,,,59.0,21.0,18.0,,,,,0.0,,2.0985
1003196171,Family Practice,3653,5516.2,273552.01,161300,204.0,799.0,203431.62,2804.0,68467.96,90.0,4419.03,2.46,69.0,133.0,71.0,73.0,,,102.0,0.0,,1.2512
1003196429,Family Practice,148,149.3,9541.32,4428,19.0,,,99.0,1909.3,0.0,0.0,0.0,71.0,,,0.0,0.0,0.0,0.0,19.0,0.0,1.8379
1003196460,Internal Medicine,164,164.3,7160.42,2511,88.0,,,134.0,1538.4,,,,71.0,39.0,49.0,,,,,0.0,,2.8349
1003197641,Family Practice,40,79.8,7657.37,2269,13.0,,,27.0,511.12,0.0,0.0,0.0,61.0,,,,,0.0,,0.0,0.0,0.9566
1003198144,Family Practice,17165,30336.1,561894.17,858816,1313.0,2685.0,437239.12,14287.0,121173.32,283.0,1019.19,1.65,76.0,742.0,571.0,55.0,,,1238.0,0.0,,1.7598
1003198359,Internal Medicine,55,59.0,3714.48,1214,19.0,,,,,,,,75.0,,,,,0.0,0.0,0.0,0.0,3.0785
1003198391,Internal Medicine,192,192.0,32158.12,5449,39.0,159.0,31818.21,33.0,339.91,0.0,0.0,0.0,68.0,21.0,18.0,,,0.0,22.0,0.0,,1.7879
1003199126,Internal Medicine,1301,1876.0,57847.06,54525,195.0,217.0,38220.9,1084.0,19626.16,,,,76.0,150.0,45.0,166.0,,,,,,1.3255
1003201625,Internal Medicine,113,132.0,6010.66,3378,29.0,,,97.0,2316.73,0.0,0.0,0.0,66.0,16.0,13.0,,18.0,0.0,,0.0,,2.4744
1003201815,Internal Medicine,17,19.0,3838.78,411,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003201849,Internal Medicine,48,60.0,1859.32,1057,33.0,,,,,0.0,0.0,0.0,70.0,21.0,12.0,,,,,0.0,0.0,1.1407
1003201971,General Practice,20,20.0,1252.4,337,,,,,,,,,,,,,,,,,,
1003202144,Internal Medicine,271,308.7,16034.36,8544,30.0,,,166.0,1892.16,,,,63.0,16.0,14.0,,16.0,,,0.0,0.0,3.0236
1003202920,Internal Medicine,683,791.9,38362.89,22148,127.0,,,598.0,11486.64,112.0,5941.98,16.4,63.0,69.0,58.0,67.0,,0.0,34.0,,,1.8713
1003203001,Internal Medicine,192,317.7,13237.88,9125,40.0,,,159.0,3061.18,0.0,0.0,0.0,61.0,26.0,14.0,21.0,,0.0,,0.0,0.0,1.9774
1003203662,Internal Medicine,109,125.0,5404.11,3557,19.0,,,84.0,729.52,0.0,0.0,0.0,63.0,,,,,0.0,,,0.0,1.3846
1003205683,Internal Medicine,222,234.5,10816.07,4883,85.0,,,179.0,3943.23,,,,68.0,51.0,34.0,52.0,20.0,0.0,,0.0,,2.2759
1003206392,Internal Medicine,116,126.5,6601.04,2568,59.0,14.0,2652.88,102.0,3948.16,24.0,2032.45,20.69,70.0,38.0,21.0,41.0,18.0,0.0,0.0,0.0,0.0,2.647
1003207978,Internal Medicine,25,25.0,712.61,362,11.0,,,,,0.0,0.0,0.0,77.0,,,0.0,0.0,0.0,11.0,0.0,0.0,1.8001
1003210279,Family Practice,357,371.1,19833.57,7754,150.0,,,275.0,3364.89,29.0,229.06,8.12,68.0,94.0,56.0,,88.0,0.0,,0.0,0.0,2.5842
1003212630,Family Practice,165,179.0,10282.45,4414,43.0,34.0,2607.29,131.0,7675.16,,,,65.0,24.0,19.0,43.0,0.0,0.0,0.0,0.0,0.0,1.3424
1003213604,Internal Medicine,59,82.5,3014.84,2132,14.0,,,,,,,,74.0,,,,,0.0,0.0,0.0,0.0,3.4023
1003213877,Internal Medicine,1285,2249.4,52200.69,58252,421.0,283.0,29843.96,990.0,22128.92,108.0,3741.91,8.4,72.0,249.0,172.0,238.0,53.0,33.0,83.0,,,1.4083
1003216359,Internal Medicine,407,691.7,65652.19,19923,86.0,113.0,61492.37,280.0,3754.99,0.0,0.0,0.0,66.0,56.0,30.0,41.0,33.0,0.0,,0.0,,1.9678
1003218470,Family Practice,11,11.0,231.09,196,,,,,,,,,,,,,,,,,,
1003220799,Internal Medicine,51,68.1,2755.72,1876,11.0,,,,,0.0,0.0,0.0,73.0,,,,,,0.0,0.0,0.0,3.2413
1003221169,Internal Medicine,344,637.2,14392.31,18551,46.0,40.0,8957.94,304.0,5434.37,,,,67.0,30.0,16.0,,22.0,,0.0,0.0,,1.8492
1003221177,Internal Medicine,232,245.6,26964.8,4621,76.0,,,171.0,4026.78,25.0,556.17,10.78,70.0,48.0,28.0,,40.0,14.0,,,0.0,3.1788
1003221292,Internal Medicine,71,71.1,2475.99,1687,25.0,,,,,0.0,0.0,0.0,74.0,13.0,12.0,,,,,0.0,0.0,2.4591
1003221359,Internal Medicine,69,94.0,3652.01,2598,34.0,,,55.0,1408.95,0.0,0.0,0.0,68.0,17.0,17.0,23.0,,0.0,,0.0,0.0,2.1014
1003221524,Internal Medicine,15,15.4,105.45,365,,0.0,0.0,15.0,105.45,,,,,,,,,,,,,
1003221623,Family Practice,505,649.8,28072.54,18501,101.0,99.0,23412.1,393.0,4271.21,21.0,547.1,4.16,60.0,62.0,39.0,,51.0,0.0,0.0,0.0,,1.7624
1003221839,Internal Medicine,398,573.2,19754.07,15662,53.0,,,293.0,3147.92,11.0,129.3,2.76,63.0,36.0,17.0,39.0,14.0,0.0,0.0,0.0,0.0,1.6276
1003221938,Internal Medicine,44,78.3,4732.33,2165,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003221995,Family Practice,390,542.9,23351.98,15200,68.0,,,296.0,3464.18,0.0,0.0,0.0,67.0,45.0,23.0,,39.0,,,0.0,,1.1532
1003222043,Family Practice,409,605.4,35104.52,16600,56.0,,,327.0,12990.22,31.0,578.83,7.58,68.0,29.0,27.0,41.0,,,,0.0,0.0,1.9003
1003222092,Family Practice,397,617.4,25200.57,17305,71.0,,,317.0,5940.55,0.0,0.0,0.0,66.0,52.0,19.0,55.0,,0.0,,0.0,,1.2203
1003222431,Internal Medicine,604,629.0,55890.59,18154,102.0,135.0,20575.64,458.0,35074.9,13.0,285.35,2.15,70.0,69.0,33.0,,,0.0,78.0,0.0,0.0,2.1608
1003222563,Family Practice,586,851.6,25880.19,24674,65.0,,,532.0,7921.02,25.0,1218.77,4.27,67.0,52.0,13.0,,46.0,,,0.0,0.0,1.4022
1003223470,Family Practice,459,598.3,26592.46,16278,60.0,,,360.0,6514.1,15.0,471.08,3.27,61.0,46.0,14.0,40.0,,0.0,,0.0,0.0,1.7135
1003223686,Internal Medicine,565,729.9,24086.39,20869,63.0,,,462.0,5513.17,,,,67.0,43.0,20.0,37.0,,0.0,,0.0,,2.0947
1003224577,Internal Medicine,242,270.8,5798.87,7639,39.0,24.0,4213.96,218.0,1584.91,,,,67.0,21.0,18.0,,,0.0,0.0,0.0,0.0,2.7612
1003226358,Internal Medicine,1070,1644.2,75265.25,46358,163.0,222.0,55244.64,794.0,17961.86,,,,69.0,117.0,46.0,47.0,73.0,,,0.0,,1.6879
1003226556,Family Practice,141,146.5,4385.49,3216,48.0,,,,,,,,72.0,,,30.0,,,,,,1.1511
